acc_status,acc_duration,credit_history,purpose,credit_amount,savings_acc,employment_time,installment_rate,gender,other_debtors,residence_time,property,age,installment_plans,housing,num_credits_at_bank,job,num_people_maintenance,phone,foreigner,target
dm_0_to_200,7,credit_paid_so_far,radio_or_tv,2329,dm_less_100,less_one,1,female,guarantor,1,real_estate,45,none,own,1,skilled_employee_or_official,1,no,yes,1
no_acc,24,credit_paid_so_far,radio_or_tv,5943,unknown_or_no_savings,less_one,1,female,none,1,car_or_other,44,none,own,2,skilled_employee_or_official,1,yes,yes,0
dm_0_to_200,24,credit_paid_so_far,car_new,3512,dm_100_to_500,four_to_seven,2,male,none,3,car_or_other,38,bank,own,2,skilled_employee_or_official,1,yes,yes,1
no_acc,21,delay_in_past_credit_payment,furniture_or_equipment,1591,dm_100_to_500,four_to_seven,4,male,none,3,real_estate,34,none,own,2,self_or_highly_qualified_employee,1,no,yes,1
dm_less_than_0,12,credit_paid_so_far,car_new,1274,dm_less_100,less_one,3,female,none,1,real_estate,37,none,own,1,unskilled_resident,1,no,yes,0
no_acc,18,critical_amount,car_new,1028,dm_less_100,one_to_four,4,female,none,3,real_estate,36,none,own,2,skilled_employee_or_official,1,no,yes,1
no_acc,15,credit_paid_so_far,furniture_or_equipment,2221,dm_500_to_1000,one_to_four,2,female,none,4,car_or_other,20,none,rent,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,39,critical_amount,radio_or_tv,4933,dm_less_100,four_to_seven,2,male,guarantor,2,real_estate,25,none,own,2,skilled_employee_or_official,1,no,yes,0
no_acc,30,critical_amount,radio_or_tv,4530,dm_less_100,four_to_seven,4,female,none,4,car_or_other,26,none,rent,1,self_or_highly_qualified_employee,1,yes,yes,1
no_acc,15,credit_paid_so_far,education,4623,dm_100_to_500,one_to_four,3,male,none,2,life_insurance_or_savings_agreement,40,none,own,1,self_or_highly_qualified_employee,1,yes,yes,0
dm_greater_eq_200,6,credit_paid_so_far,furniture_or_equipment,2116,dm_less_100,one_to_four,2,male,none,2,real_estate,41,none,own,1,skilled_employee_or_official,1,yes,yes,1
dm_less_than_0,24,credit_paid_so_far,radio_or_tv,1987,dm_less_100,one_to_four,2,male,none,4,real_estate,21,none,rent,1,unskilled_resident,2,no,yes,0
dm_0_to_200,24,critical_amount,car_new,3878,dm_100_to_500,less_one,4,male,none,2,car_or_other,37,none,own,1,skilled_employee_or_official,1,yes,yes,1
no_acc,24,critical_amount,car_new,1287,dm_greater_eq_1000,greater_eq_seven,4,female,none,4,real_estate,37,none,own,2,skilled_employee_or_official,1,yes,yes,1
dm_less_than_0,21,critical_amount,car_new,571,dm_less_100,greater_eq_seven,4,male,none,4,real_estate,65,none,own,2,skilled_employee_or_official,1,no,yes,1
no_acc,36,delay_in_past_credit_payment,furniture_or_equipment,7678,dm_500_to_1000,four_to_seven,2,female,none,4,car_or_other,40,none,own,2,skilled_employee_or_official,1,yes,yes,1
no_acc,24,critical_amount,radio_or_tv,2611,dm_less_100,greater_eq_seven,4,male,co-applicant,3,real_estate,46,none,own,2,skilled_employee_or_official,1,no,yes,1
no_acc,12,credit_paid_so_far,radio_or_tv,707,dm_less_100,one_to_four,4,male,none,2,real_estate,30,bank,own,2,skilled_employee_or_official,1,no,yes,1
no_acc,12,credit_paid_so_far,furniture_or_equipment,1768,dm_less_100,one_to_four,3,male,none,2,real_estate,24,none,rent,1,unskilled_resident,1,no,yes,1
dm_less_than_0,18,critical_amount,furniture_or_equipment,2124,dm_less_100,one_to_four,4,female,none,4,real_estate,24,none,rent,2,skilled_employee_or_official,1,no,yes,0
dm_less_than_0,18,credit_paid_so_far,radio_or_tv,1936,unknown_or_no_savings,four_to_seven,2,male,none,4,car_or_other,23,none,rent,2,unskilled_resident,1,no,yes,1
dm_less_than_0,6,credit_paid_so_far,furniture_or_equipment,428,dm_less_100,greater_eq_seven,2,female,none,1,life_insurance_or_savings_agreement,49,bank,own,1,skilled_employee_or_official,1,yes,yes,1
no_acc,15,credit_paid_so_far,domestic_appliances,874,unknown_or_no_savings,less_one,4,female,none,1,real_estate,24,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_less_than_0,12,credit_paid_so_far,furniture_or_equipment,652,dm_less_100,greater_eq_seven,4,female,none,4,life_insurance_or_savings_agreement,24,none,rent,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,7,credit_paid_so_far,radio_or_tv,2576,dm_less_100,one_to_four,2,male,guarantor,2,real_estate,35,none,own,1,skilled_employee_or_official,1,no,yes,1
no_acc,9,credit_paid_so_far,business,1449,dm_less_100,four_to_seven,3,female,none,2,car_or_other,27,none,own,2,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,24,credit_paid_so_far,other,11328,dm_less_100,one_to_four,2,male,co-applicant,3,car_or_other,29,bank,own,2,self_or_highly_qualified_employee,1,yes,yes,0
no_acc,12,no_credit_this_bank,retraining,3447,dm_500_to_1000,one_to_four,4,female,none,3,real_estate,35,none,own,1,unskilled_resident,2,no,yes,1
no_acc,30,delay_in_past_credit_payment,business,4272,dm_100_to_500,one_to_four,2,male,none,2,life_insurance_or_savings_agreement,26,none,own,2,unskilled_resident,1,no,yes,1
no_acc,18,credit_paid_so_far,radio_or_tv,1453,dm_less_100,less_one,3,female,none,1,real_estate,26,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,12,credit_paid_so_far,radio_or_tv,625,dm_less_100,less_one,4,male,guarantor,1,real_estate,26,bank,own,1,unskilled_resident,1,no,yes,1
dm_0_to_200,15,delay_in_past_credit_payment,repairs,1512,dm_greater_eq_1000,one_to_four,3,male,none,3,life_insurance_or_savings_agreement,61,stores,own,2,skilled_employee_or_official,1,no,yes,0
dm_less_than_0,24,credit_paid_so_far,radio_or_tv,1282,dm_100_to_500,one_to_four,4,female,none,2,car_or_other,32,none,own,1,unskilled_resident,1,no,yes,0
dm_less_than_0,48,credit_paid_so_far,radio_or_tv,6999,dm_less_100,four_to_seven,1,male,guarantor,1,real_estate,34,none,own,2,skilled_employee_or_official,1,yes,yes,0
no_acc,24,credit_paid_so_far,car_old,3488,dm_100_to_500,four_to_seven,3,female,none,4,car_or_other,23,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_less_than_0,36,critical_amount,furniture_or_equipment,2348,dm_less_100,one_to_four,3,male,none,2,life_insurance_or_savings_agreement,46,none,own,2,skilled_employee_or_official,1,yes,yes,1
dm_0_to_200,39,delay_in_past_credit_payment,education,11760,dm_100_to_500,four_to_seven,2,male,none,3,unknown_or_no_property,32,none,rent,1,skilled_employee_or_official,1,yes,yes,1
no_acc,24,delay_in_past_credit_payment,furniture_or_equipment,4151,dm_100_to_500,one_to_four,2,male,none,3,life_insurance_or_savings_agreement,35,none,own,2,skilled_employee_or_official,1,no,yes,1
dm_less_than_0,12,credit_paid_so_far,radio_or_tv,1498,dm_less_100,one_to_four,4,female,none,1,car_or_other,23,bank,own,1,skilled_employee_or_official,1,no,yes,1
dm_greater_eq_200,24,credit_paid_so_far,furniture_or_equipment,2892,dm_less_100,greater_eq_seven,3,male,none,4,unknown_or_no_property,51,none,for_free,1,skilled_employee_or_official,1,no,yes,1
no_acc,18,credit_paid_so_far,car_new,6761,unknown_or_no_savings,one_to_four,2,male,none,4,car_or_other,68,none,rent,2,skilled_employee_or_official,1,no,yes,0
dm_0_to_200,18,credit_paid_so_far,education,1239,unknown_or_no_savings,one_to_four,4,male,none,4,unknown_or_no_property,61,none,for_free,1,skilled_employee_or_official,1,no,yes,1
no_acc,12,critical_amount,education,3565,unknown_or_no_savings,less_one,2,male,none,1,life_insurance_or_savings_agreement,37,none,own,2,unskilled_resident,2,no,yes,1
dm_less_than_0,30,credit_paid_so_far,furniture_or_equipment,3108,dm_less_100,less_one,2,male,none,4,life_insurance_or_savings_agreement,31,none,own,1,unskilled_resident,1,no,yes,0
dm_0_to_200,24,delay_in_past_credit_payment,furniture_or_equipment,2064,dm_less_100,unemployed,3,female,none,2,life_insurance_or_savings_agreement,34,none,own,1,self_or_highly_qualified_employee,1,yes,yes,0
dm_greater_eq_200,10,critical_amount,radio_or_tv,1347,unknown_or_no_savings,four_to_seven,4,male,none,2,life_insurance_or_savings_agreement,27,none,own,2,skilled_employee_or_official,1,yes,yes,1
no_acc,12,critical_amount,car_new,682,dm_100_to_500,four_to_seven,4,female,none,3,car_or_other,51,none,own,2,skilled_employee_or_official,1,yes,yes,1
dm_0_to_200,9,no_credit_this_bank,car_old,5129,dm_less_100,greater_eq_seven,2,female,none,4,unknown_or_no_property,74,bank,for_free,1,self_or_highly_qualified_employee,2,yes,yes,0
dm_less_than_0,30,critical_amount,car_old,6187,dm_100_to_500,four_to_seven,1,male,none,4,car_or_other,24,none,rent,2,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,60,delay_in_past_credit_payment,radio_or_tv,9157,unknown_or_no_savings,one_to_four,2,male,none,2,unknown_or_no_property,27,none,for_free,1,self_or_highly_qualified_employee,1,no,yes,1
dm_less_than_0,36,credit_paid_so_far,radio_or_tv,2302,dm_less_100,one_to_four,4,male,none,4,car_or_other,31,none,rent,1,skilled_employee_or_official,1,no,yes,0
dm_less_than_0,12,no_credit_this_bank,car_new,697,dm_less_100,less_one,4,male,none,2,car_or_other,46,bank,own,2,skilled_employee_or_official,1,yes,yes,0
no_acc,12,credit_paid_so_far,car_old,4675,unknown_or_no_savings,less_one,1,female,none,4,car_or_other,20,none,rent,1,skilled_employee_or_official,1,no,yes,1
no_acc,36,credit_paid_so_far,furniture_or_equipment,3349,dm_less_100,one_to_four,4,female,none,2,car_or_other,28,none,own,1,self_or_highly_qualified_employee,1,yes,yes,0
dm_0_to_200,15,critical_amount,radio_or_tv,2728,unknown_or_no_savings,four_to_seven,4,male,guarantor,2,real_estate,35,bank,own,3,skilled_employee_or_official,1,yes,yes,1
dm_0_to_200,36,delay_in_past_credit_payment,car_new,2225,dm_less_100,greater_eq_seven,4,male,none,4,unknown_or_no_property,57,bank,for_free,2,skilled_employee_or_official,1,yes,yes,0
dm_greater_eq_200,30,critical_amount,radio_or_tv,3017,dm_less_100,greater_eq_seven,4,male,none,4,life_insurance_or_savings_agreement,47,none,own,1,skilled_employee_or_official,1,no,yes,1
dm_0_to_200,27,delay_in_past_credit_payment,car_old,5965,dm_less_100,greater_eq_seven,1,male,none,2,car_or_other,30,none,own,2,self_or_highly_qualified_employee,1,yes,yes,1
dm_less_than_0,18,credit_paid_so_far,radio_or_tv,1345,dm_less_100,one_to_four,4,male,none,3,real_estate,26,bank,own,1,skilled_employee_or_official,1,no,yes,0
no_acc,12,critical_amount,education,701,dm_less_100,one_to_four,4,male,none,2,car_or_other,32,none,own,2,skilled_employee_or_official,1,no,yes,1
